deduction,limit,phase_out,applies_to,form_line,notes
Standard Deduction - Single,"$15,350",N/A,Individual (1040),Form 1040 Line 13,Increased from $14900 in 2024; additional $1950 if blind or age 65+
Standard Deduction - MFJ,"$30,700",N/A,Individual (1040),Form 1040 Line 13,Increased from $29200 in 2024; additional $1550 per qualifying spouse if blind or age 65+
Standard Deduction - MFS,"$15,350",N/A,Individual (1040),Form 1040 Line 13,Same as single filer amount
Standard Deduction - HOH,"$22,500",N/A,Individual (1040),Form 1040 Line 13,Head of Household filing status
Qualified Business Income (QBI) Deduction,20% of QBI,"Taxable income: Single >$197,300 / MFJ >$394,600 (full phase-out at $247,300 / $494,600)",Individual / Pass-through,Form 8995 or 8995-A,"Section 199A. Specified service trades (law, health, consulting) subject to phase-out. W-2 wage / UBIA limitation applies above threshold."
Traditional IRA Contribution,"$7,000","Single w/ employer plan: MAGI $79,000-$89,000; MFJ w/ employer plan: $126,000-$146,000",Individual,Form 1040 Schedule 1 Line 20,"Catch-up: additional $1,000 if age 50+. Full deduction if no employer plan regardless of income."
Roth IRA Contribution,"$7,000","Single: MAGI $150,000-$165,000; MFJ: $236,000-$246,000",Individual,N/A (not deductible),"Not tax-deductible but tax-free growth. Catch-up: additional $1,000 if age 50+. Backdoor Roth available above limits."
401(k) Employee Deferral,"$23,500",N/A,"Individual (employee), all entity types",W-2 / Payroll,"Catch-up: additional $7,500 if age 50+. Super catch-up: $11,250 if ages 60-63 (SECURE 2.0). Total employee + employer limit $70,000."
SEP-IRA Contribution,"$70,000 or 25% of compensation",N/A,"Self-employed / S-Corp / C-Corp",Form 1040 Schedule 1 / Corporate return,"Self-employed: ~20% of net SE income after SE tax deduction. Employer contribution only; no employee deferral."
SIMPLE IRA Employee Deferral,"$16,500",N/A,Individual (employee),W-2 / Payroll,"Catch-up: additional $3,500 if age 50+. Employer must match up to 3% or contribute 2% non-elective."
Solo 401(k) Total Contribution,"$70,000",N/A,Self-employed (no employees),Form 1040 Schedule 1,"Employee deferral ($23,500) + employer profit sharing (25% of comp). Catch-up adds $7,500 if 50+."
HSA Contribution - Self Only,"$4,300",N/A,Individual with HDHP,Form 8889,"Catch-up: additional $1,000 if age 55+. Must have qualifying HDHP. Triple tax advantage."
HSA Contribution - Family,"$8,550",N/A,Individual with HDHP (family),Form 8889,"Catch-up: additional $1,000 if age 55+. HDHP minimum deductible: $1,650 self / $3,300 family."
SALT Deduction (State and Local Tax),"$10,000","N/A (hard cap, not phase-out)",Individual (itemized),Schedule A Line 5d,"$10,000 cap ($5,000 MFS). Includes state income/sales tax + property tax. Scheduled to expire after 2025 under TCJA."
Mortgage Interest Deduction,"Interest on $750,000 of acquisition debt",N/A,Individual (itemized),Schedule A Line 8a,"Pre-12/15/2017 mortgages: $1M limit grandfathered. Home equity loan interest deductible only if used to buy/build/improve home."
Charitable Contributions - Cash,60% of AGI,N/A,Individual (itemized),Schedule A Line 12,"Excess carries forward 5 years. Must have written acknowledgment for gifts >$250. Cash to public charities."
Charitable Contributions - Appreciated Property,30% of AGI,N/A,Individual (itemized),Schedule A Line 12,"FMV deduction for long-term capital gain property. Qualified appraisal required for non-cash >$5,000."
Charitable Contributions - Corporate,10% of taxable income (before deduction),N/A,C-Corp (1120),Form 1120,"Excess carries forward 5 years. Enhanced deduction for food inventory donations (15%)."
Medical Expenses,Exceeds 7.5% of AGI,N/A,Individual (itemized),Schedule A Line 4,"Only amount OVER 7.5% of AGI is deductible. Includes premiums, copays, prescriptions, dental, vision, long-term care."
Educator Expense Deduction,$300,N/A,Individual (K-12 teacher),Form 1040 Schedule 1 Line 11,"Above-the-line deduction. Must be K-12 teacher, instructor, counselor, or principal with 900+ hours."
Student Loan Interest Deduction,"$2,500","Single MAGI: $80,000-$95,000; MFJ: $165,000-$195,000",Individual,Form 1040 Schedule 1 Line 21,"Above-the-line deduction. Cannot be claimed if MFS. Includes interest on qualified education loans."
American Opportunity Credit,"$2,500 per student (40% refundable)","Single MAGI: $80,000-$90,000; MFJ: $160,000-$180,000",Individual,Form 8863,"First 4 years of post-secondary education. 100% of first $2,000 + 25% of next $2,000 of qualified expenses."
Lifetime Learning Credit,"$2,000 per return","Single MAGI: $80,000-$90,000; MFJ: $160,000-$180,000",Individual,Form 8863,"No limit on years claimed. Cannot claim both AOTC and LLC for same student in same year."
Child Tax Credit,"$2,000 per qualifying child","Single >$200,000; MFJ >$400,000 ($50 reduction per $1,000 over)",Individual,Form 1040 / Schedule 8812,"Refundable up to $1,700 (ACTC). Child must be under 17, have SSN, claimed as dependent."
Child and Dependent Care Credit,"$3,000 (1 child) / $6,000 (2+ children)",Credit percentage: 35% at $0 AGI down to 20% at $43K+ AGI,Individual,Form 2441,"Non-refundable credit. Must have earned income. Expenses for care of child <13 or disabled dependent."
Earned Income Tax Credit (EITC) - No Children,$632,"Single/HOH MAGI: $19,104; MFJ: $26,214",Individual,Schedule EIC,"Fully refundable. Must have earned income. Investment income must be <$11,600."
Earned Income Tax Credit (EITC) - 1 Child,"$4,213","Single/HOH MAGI: $49,084; MFJ: $56,004",Individual,Schedule EIC,"Fully refundable. Qualifying child must meet age, residency, and relationship tests."
Earned Income Tax Credit (EITC) - 2 Children,"$6,960","Single/HOH MAGI: $55,768; MFJ: $62,688",Individual,Schedule EIC,Fully refundable.
Earned Income Tax Credit (EITC) - 3+ Children,"$7,830","Single/HOH MAGI: $59,899; MFJ: $66,819",Individual,Schedule EIC,Fully refundable.
Section 179 Expensing,"$1,250,000","Phase-out begins at $3,130,000 of total property placed in service",All business entities,Form 4562 Part I,"Allows immediate expensing of qualifying business property. SUVs limited to $31,300. Not available for real property (generally)."
Bonus Depreciation,40% of cost,N/A (phase-down),All business entities,Form 4562,"TCJA bonus depreciation phases down: 40% in 2025, 20% in 2026, 0% in 2027. Applies to new and used property."
Business Vehicle Depreciation - First Year,"$12,400 (no bonus) / $20,400 (with bonus)",N/A,All business entities,Form 4562,"Luxury auto limits. Passenger vehicles >6,000 lbs GVWR exempt from luxury limits (Section 179 SUV cap still applies)."
Business Vehicle Depreciation - Year 2,"$19,800",N/A,All business entities,Form 4562,Second year luxury auto limit.
Business Vehicle Depreciation - Year 3,"$11,900",N/A,All business entities,Form 4562,Third year luxury auto limit.
Business Vehicle Depreciation - Year 4+,"$7,160",N/A,All business entities,Form 4562,Fourth and subsequent year luxury auto limit until fully depreciated.
Standard Mileage Rate - Business,$0.70/mile,N/A,All (self-employed or employee with employer plan),Form 2106 / Schedule C,"Cannot use if claiming actual expenses in prior year for same vehicle. First year choice is binding."
Standard Mileage Rate - Medical/Moving,$0.21/mile,N/A,Individual (medical) / Military moving,Schedule A / Form 3903,"Moving expense deduction only for active-duty military. Medical mileage subject to 7.5% AGI threshold."
Standard Mileage Rate - Charity,$0.14/mile,N/A,Individual (itemized),Schedule A,Set by statute; does not adjust annually.
Home Office Deduction - Simplified,$5/sq ft up to 300 sq ft ($1500 max),N/A,Self-employed,Form 8829 / Schedule C,"Cannot exceed gross income from business. Simplified method: no depreciation recapture on sale."
Home Office Deduction - Regular,Actual expenses pro-rated by business % of home,N/A,Self-employed,Form 8829,"Business percentage = office sq ft / total home sq ft. Includes mortgage interest, taxes, insurance, utilities, repairs, depreciation."
Self-Employment Tax Deduction,50% of SE tax,N/A,Self-employed,Form 1040 Schedule 1 Line 15,"Above-the-line deduction for employer-equivalent portion of SE tax. SE tax rate = 15.3% (12.4% SS + 2.9% Medicare)."
Self-Employed Health Insurance Deduction,100% of premiums,Limited to net SE income,Self-employed,Form 1040 Schedule 1 Line 17,"Above-the-line. Cannot also claim on Schedule A. Covers self, spouse, dependents, and children under 27."
Domestic Production Activities (DPAD),Repealed (was 9%),N/A,N/A,N/A,"Repealed by TCJA for tax years after 2017. Replaced by Section 199A QBI deduction for pass-throughs."
Net Operating Loss (NOL),80% of taxable income,N/A,All entity types,Various,"NOLs can only offset 80% of taxable income (TCJA). Indefinite carryforward, no carryback (except farming)."
Business Interest Limitation (163(j)),30% of adjusted taxable income,Exempt if average annual gross receipts <$30M,All business entities,Form 8990,"ATI = taxable income + interest + depreciation + amortization + depletion. Excess carries forward indefinitely."
Meals Deduction - Business,50% deductible,N/A,All business entities,Various,"Meals must be directly related to business. 100% deductible: employer-provided for convenience, company events, marketing events."
Entertainment Deduction,0% (non-deductible),N/A,All business entities,N/A,"Fully non-deductible after TCJA. Tickets, golf, sporting events, etc. Meals can be separated if stated separately."
Business Gift Deduction,$25 per recipient per year,N/A,All business entities,Various,"Incidental costs (wrapping, shipping) excluded from $25 limit. Signs/display items <$4 excluded."
De Minimis Safe Harbor Election,"$2,500 per item (no AFS) / $5,000 per item (with AFS)",N/A,All business entities,Election statement,"Allows immediate expensing of tangible property below threshold. Must make annual election. AFS = audited financial statements."
Research & Development Credit,Up to 20% of qualified research expenses over base,N/A,All business entities,Form 6765,"Alternative simplified credit: 14% of QRE over 50% of prior 3-year average. Small businesses can offset AMT and payroll tax."
Work Opportunity Tax Credit (WOTC),"$2,400 - $9,600 per qualified employee",N/A,All business entities,Form 5884,"Varies by target group. Must file Form 8850 within 28 days of start date. Long-term family assistance: $9,600."
Qualified Small Business Stock (QSBS) Exclusion,100% of gain (up to $10M or 10x basis),"Must hold >5 years; C-Corp with <$50M in assets at issuance",Individual,Form 8949 / Schedule D,"Section 1202. Original issuance stock only. Certain industries excluded (finance, law, engineering, etc.)."
Adoption Credit,"$17,280 per child","Phase-out: MAGI $259,190-$299,190",Individual,Form 8839,"Non-refundable but carries forward 5 years. Special needs adoption: full credit regardless of actual expenses."
Energy Efficient Home Improvement Credit,"$3,200/year ($1,200 general + $2,000 heat pumps)","N/A (annual limits, not income phase-out)",Individual,Form 5695,"30% of cost. Includes insulation, windows, doors, heat pumps, biomass stoves. Through 2032."
Residential Clean Energy Credit,30% of cost (no cap),N/A,Individual,Form 5695,"Solar, wind, geothermal, battery storage (>3 kWh). No annual dollar limit. Through 2034 (steps down after 2032)."
Electric Vehicle Credit - New,"$7,500","MAGI: Single $150K / HOH $225K / MFJ $300K; MSRP: $55K cars / $80K trucks-SUVs-vans",Individual,Form 8936,"Must meet critical mineral and battery component requirements. Transferable to dealer at point of sale."
Electric Vehicle Credit - Used,"$4,000 (or 30% of price, whichever is less)","MAGI: Single $75K / HOH $112.5K / MFJ $150K; sale price must be <$25K",Individual,Form 8936,"Model year must be at least 2 years old. One credit per vehicle. First transfer only."
Estate Tax Exemption,"$13,990,000",N/A,Estates,Form 706,"Portability: unused exemption transfers to surviving spouse. Scheduled to revert to ~$7M (adjusted) after 2025."
Annual Gift Tax Exclusion,"$19,000 per recipient",N/A,Individual (gift tax),Form 709 (if over limit),"$19,000 per recipient per year with no gift tax or reporting. Married couples: $38,000 per recipient (gift splitting)."
Foreign Earned Income Exclusion,"$130,000",N/A,Individual (living abroad),Form 2555,"Must meet bona fide residence or physical presence test (330 days). Housing exclusion available in addition."
